Date,Oil volume (m3/day),Water volume (m3/day),Volume of liquid (m3/day),Gas volume (m3/day),Water cut (%),Working hours,Dynamic level (m),Reservoir pressure (atm)
2023-01-01,50.488135039273246,21.778165367962302,68.11795881994102,13253.27774961059,29.012595008036087,23.241523303919244,1767.4658385395005,213.73215955744794
2023-01-02,52.151893663724195,17.700079731921647,71.9634348881546,13187.02366634932,34.29291417302714,23.492139455522988,1782.798800090808,212.2286381801498
2023-01-03,51.02763376071644,22.35194022122595,68.7775183929248,12966.572576014321,25.996149302212714,24.099881769017056,1818.0348666015002,210.80532003471845
2023-01-04,50.44883182996897,24.621885451174382,66.79603677559635,12840.550694993999,34.45301533479079,25.00238009171595,1756.3207618338631,210.85310923118703
2023-01-05,49.236547993389046,17.48753143519958,65.2467872839133,13003.620585706904,33.69488530546632,23.3340298631651,1810.7249374011542,212.21396446292772
2023-01-06,51.45894113066656,20.76157334417837,65.67249631463248,12916.117071085471,29.541623969075516,25.696635066483054,1797.7646502876416,211.00014060921555
2023-01-07,49.37587211262692,20.92041931271839,71.79392773498567,12866.243817378992,28.2670088176826,25.449274187343608,1778.3999976762102,212.6503969836448
2023-01-08,53.91773000782079,20.722519057908734,69.53696844556045,12826.713590893412,27.327441292790567,22.194761183902113,1773.8413280924058,210.66149462116954
2023-01-09,54.63662760501029,17.230816326406185,70.36579211108722,13162.797182105289,31.144647064768744,23.014570097027292,1801.4512743298756,210.65604867209925
2023-01-10,48.83441518825778,24.52749011516985,73.96671293040342,12805.713729312516,25.330745914755056,23.78454205063681,1786.7927580537041,218.56276179622782
2023-01-11,52.917250380826644,19.471253786176273,74.90338947396704,13185.290374251388,25.156060644468283,22.418511554969896,1795.6519891262656,211.62120260708832
2023-01-12,50.28894919752904,23.46408672471128,67.16896984398474,12873.473322700187,29.287957224982378,23.39390395613399,1783.747738176424,215.5968240582345
2023-01-13,50.68044561093932,21.99479275317504,71.630782031001,12839.761041293377,25.6807407397472,24.96039010247073,1847.0493693595977,217.7345554444903
2023-01-14,54.25596638292661,17.974369508551337,67.6332237673715,12844.801517119302,27.519409882460927,24.722057924571303,1763.3439431745603,214.56409565339067
2023-01-15,45.71036058197887,23.137978197024772,65.20650999465728,13136.023903676958,27.211609153460838,24.48953771426402,1759.6803953178373,211.53368877859344
2023-01-16,45.87129299701541,18.965057408469846,72.58378653836141,12922.683604926422,27.531911937228518,24.84211361088938,1784.3391728790916,211.99596142120114
2023-01-17,45.202183974403255,23.811031971111618,68.20017150822468,13010.269733340048,26.310552312152577,22.819694747838806,1809.102690087049,214.32984206281182
2023-01-18,53.32619845547938,20.812728726358586,68.83463894171898,13078.684395661958,25.120362228976543,23.366792459458928,1815.9176471850028,215.28234089178537
2023-01-19,52.7815675094985,23.81735361854853,70.88317113553606,13230.275586914397,26.15484297138748,24.70496992910985,1789.7256747168042,213.49440292048536
2023-01-20,53.70012148246819,21.925315900777658,73.3104845523619,13163.522131355665,31.18480259512748,25.51693905212531,1849.9277993922171,217.8147960023466
2023-01-21,54.78618342232764,22.252542798196405,71.28981843591149,12935.163952619358,34.7425621281805,24.174712215312383,1785.1892996193042,217.510216488564
2023-01-22,52.99158564216724,20.01324381926702,73.72650655447396,12865.741399645563,34.90345001560894,23.130798603782146,1822.1406667959952,219.27211807373118
2023-01-23,49.61479362252932,24.56083634723224,67.73542034815635,12827.687160210598,29.090540953730617,22.12094103202393,1813.7582694530793,210.2895254902696
2023-01-24,52.805291762864556,21.439901992296374,72.98046833912564,12950.799317240471,26.629544260466055,24.841347315896854,1831.305386324746,218.95691291210204
2023-01-25,46.18274425868933,19.238550485581797,66.85635944305952,12931.05907461984,31.387617573665292,22.031536414033763,1847.622566345382,213.9256878846215
2023-01-26,51.39921021327524,21.063932141279246,74.52791656971945,13028.07028340024,29.90305346548737,23.490716279283983,1838.979365644554,218.78372495379995
2023-01-27,46.43353287409047,15.191931983093335,71.87488276387815,13141.64066777384,34.89409777284432,24.122148858251126,1826.456197435771,216.9078477615653
2023-01-28,54.44668917049584,18.015748166745492,67.15507677113558,13147.812722819428,25.653042071517802,25.68844584706877,1819.824847781829,219.87348757073968
2023-01-29,50.21848321750072,21.60173537492685,74.47370590488924,12941.759423291083,32.83234438313813,22.3579781801316,1783.54981696759,217.5928245171667
2023-01-30,49.146619399905234,17.900776072104442,72.30855806770158,12989.963477950061,27.883984973314938,23.623769287873134,1764.7685578206708,213.64544625996785
2023-01-31,47.64555612104627,21.180154289988415,67.53941642595026,12890.575480868452,27.41418620076574,22.097252798840632,1756.263600305981,215.01063172834753
2023-02-01,52.742336894342166,19.287687009457663,67.13311977367482,13194.27275615326,31.62504571532676,23.37044393736636,1774.1901704201484,213.76389155194352
2023-02-02,49.561503322165485,16.354740642224503,70.18200713930663,12828.42403821662,27.460631849909646,24.48892423535918,1793.2281481181299,213.64911836021238
2023-02-03,50.68433948868648,17.98282325956031,65.25662718054532,13148.498620862494,31.658591175591877,23.116271792914393,1802.1996273629982,212.60904499381058
2023-02-04,45.187898004363554,20.699649107012647,67.0747007544111,13189.347697970552,30.173085172022887,22.83899979862254,1827.3083554054872,214.9597029537347
2023-02-05,51.17635497075877,20.908727612481734,69.24685468751507,13188.703780924377,29.240889884358495,22.462812933308374,1845.8740923056594,216.8173994506936
2023-02-06,51.12095722722422,20.743252488495788,68.74169980334226,12929.711282172677,30.54687808661419,24.308560976081367,1761.732048038481,212.77340271305243
2023-02-07,51.16933996874757,21.532008198571337,69.63575424364811,12986.90656896628,27.870515199196298,24.781080023618745,1760.7004140193792,215.2437981107722
2023-02-08,54.43748078514624,21.52103270001689,67.77628706294732,13093.799817598194,32.06574706272979,24.687828562383288,1808.9694723013552,211.17380294170556
2023-02-09,51.81820299103484,19.31418435433974,70.86784346458168,12936.410951212234,29.14856869333564,25.795444082882028,1824.5398073947292,211.59845286854193
2023-02-10,48.59507900573786,23.96546595851063,73.63855605923231,12985.426399608945,28.60545560485892,22.01081285557401,1834.8150380346985,210.4680635471219
2023-02-11,49.37031953799342,18.675618700478964,66.17531855962034,12898.52714009282,33.28656914555738,24.588786615576144,1843.583208021679,219.70731442770634
2023-02-12,51.97631195927265,19.358649252656267,70.17379107154115,13029.927941878004,34.24966911953192,24.40156894839056,1848.3426242260641,210.0386035151026
2023-02-13,45.6022547162927,23.91923355015672,66.32068106345153,12822.306150627057,25.46007310887297,24.354958439881152,1789.9801692224526,211.78579968057656
2023-02-14,51.66766715445668,23.061939890460856,72.16859681192594,13199.897942285308,27.326269928297656,25.85108127936097,1788.0335183527573,216.12866753116992
2023-02-15,51.706378696181595,22.03888583540366,68.96059702807294,12838.478223493315,28.485193694925634,22.06748669348016,1764.7808676697273,210.81369598853306
2023-02-16,47.10382561073841,16.00226887312301,70.65421311858509,13059.417574415764,33.14966479370247,24.7859297228058,1818.4934438683558,218.81896503096831
2023-02-17,46.289262976548535,24.194826137446736,66.83279836214079,12953.405049772598,34.85491427643298,25.254714598807453,1815.6761958440836,217.1962015784229
2023-02-18,48.154283509241836,22.142412995491114,66.44847759343378,13088.771474415687,34.68971704670352,24.039228786486337,1836.2062595851207,219.66389971437894
2023-02-19,48.637107709426225,24.988470065678666,69.88056280648955,13279.716670416712,34.04948345549927,23.335859478387235,1759.725799478764,215.07635547240764
2023-02-20,50.7019677041788,16.494483046579937,68.55612737849955,13122.785122228002,27.965562650640297,25.16336065290962,1799.7776907825341,213.00403683158487
2023-02-21,49.38601513462321,23.68126057368214,74.40431945252813,12817.681217877745,34.92011243414474,22.388971702529698,1808.1081929672064,215.4950057279527
2023-02-22,54.88373838059226,16.62492934676375,72.65325253806965,13015.20121975403,27.494200410564513,23.768142550919702,1774.1557040039918,219.30818717297973
2023-02-23,46.02044810748028,21.155595642838442,72.48663619850548,13055.008426159126,26.05906154882232,24.079809498283353,1766.902540612916,215.20761437241862
